Imbalance_Method,Epoch,Train_Loss,Validation_Weighted_F1
None,0,0.3778641427486715,0.8836053443195653
None,1,0.281139043225369,0.8939550687676319
None,2,0.26032575524189105,0.9001288060780626
None,3,0.25092040453578385,0.909188490104694
None,4,0.24136668149854096,0.902991946166931
None,5,0.23660304197962856,0.9094916187521888
None,6,0.22641398936090334,0.9101310683526112
None,7,0.22043501711647276,0.9116718531235595
None,8,0.21067265216523492,0.9100949594677992
None,9,0.2143247676357417,0.9053050522866223
None,10,0.20063598391035914,0.9153024111436796
None,11,0.19764673132711733,0.9072377113831172
None,12,0.19418182108603732,0.9144593937356162
None,13,0.18947253292295294,0.9181404828063453
None,14,0.1832923721784437,0.9186228893359689
None,15,0.1775377187615549,0.9148496683341975
None,16,0.17581794668041484,0.9158377853899428
None,17,0.16911320808068128,0.9127252486794366
None,18,0.16516415271121013,0.91050347273593
None,19,0.1610697187798124,0.9077376204580769
None,20,0.15359900676658456,0.9110400149343649
None,21,0.14928855185567494,0.9100293935155342
None,22,0.14269854836690593,0.9171380395468317
None,23,0.13754703860047837,0.9135034918930637
None,24,0.1390568852739435,0.9092354452598812
None,25,0.13189223193576638,0.9126762565026434
None,26,0.1282354212877616,0.9115016231031623
None,27,0.1278274145869302,0.9113597278415109
None,28,0.12512580486355532,0.9137361273501374
None,29,0.11990319433766351,0.9119270625477525
None,30,0.116140095858087,0.9122346176144508
None,31,0.11486285694048438,0.9163673600425186
None,32,0.10430060812390186,0.9148750091229648
None,33,0.10389392980387513,0.9139335125033583
None,34,0.10882883957049376,0.909977855574262
WeightedCE,0,0.5386517003808223,0.8183351458685726
WeightedCE,1,0.4202434360771112,0.851793934938862
WeightedCE,2,0.3905087283379595,0.8699298374381453
WeightedCE,3,0.37036250961918227,0.871198427382651
WeightedCE,4,0.3425389539817689,0.8624142730916764
WeightedCE,5,0.3288108535425764,0.8779818144544886
WeightedCE,6,0.3217769595728794,0.8610432091161503
WeightedCE,7,0.3061313290201442,0.8858967059786726
WeightedCE,8,0.2978053651225399,0.8780996367035463
WeightedCE,9,0.28218644720987535,0.8808699915233462
WeightedCE,10,0.27989140079474784,0.8729897417069502
WeightedCE,11,0.270283134995212,0.8778373687673893
WeightedCE,12,0.26891718238172396,0.8768096497624281
WeightedCE,13,0.2564676240296431,0.8824851197688021
WeightedCE,14,0.2451707966310877,0.888575868291478
WeightedCE,15,0.250984347412284,0.8849435200380766
WeightedCE,16,0.2808584153757129,0.8876775477800706
WeightedCE,17,0.24709196084401977,0.8886187039774862
WeightedCE,18,0.22683279489127683,0.8881060904114404
WeightedCE,19,0.2240841611170433,0.8984498842604607
WeightedCE,20,0.21721903171757578,0.8989498209186314
WeightedCE,21,0.22625726015425066,0.8905661809055639
WeightedCE,22,0.20183384696572598,0.8986351700849828
WeightedCE,23,0.20035322466996355,0.8940814072217195
WeightedCE,24,0.19879099747664492,0.8858767040980948
WeightedCE,25,0.17891741795858868,0.8917451246475322
WeightedCE,26,0.19273732718027814,0.8979872999772038
WeightedCE,27,0.20152652735861254,0.9001475403062051
WeightedCE,28,0.18851218545730686,0.9057128107520913
WeightedCE,29,0.18372287921292682,0.8857847135707234
WeightedCE,30,0.1738701231882606,0.8928546708269561
WeightedCE,31,0.16861081553596846,0.8982361463090212
WeightedCE,32,0.1682812943005226,0.9069921906610017
WeightedCE,33,0.1788398355350528,0.8993105861940978
WeightedCE,34,0.20503900357535187,0.8978593584813674
WeightedCE,35,0.172928170471544,0.8976016464160217
WeightedCE,36,0.17104873942657256,0.9079940494039808
WeightedCE,37,0.1538267968825891,0.8984592324275998
WeightedCE,38,0.14991713351976704,0.9078610537399268
WeightedCE,39,0.15102327399900262,0.9036492414924907
WeightedCE,40,0.14276013630901424,0.8968456472661115
WeightedCE,41,0.14546860366220205,0.9053751813964751
WeightedCE,42,0.14919439564183565,0.8973557192598894
WeightedCE,43,0.1437441757027532,0.9062265900291304
WeightedCE,44,0.13821770387216353,0.9072985894541608
WeightedCE,45,0.13664335867678615,0.8968048672325304
WeightedCE,46,0.1374947507931313,0.9118439041319363
WeightedCE,47,0.13788848365066755,0.9083993141595701
WeightedCE,48,0.1437441005148518,0.9058425650371396
WeightedCE,49,0.12728795118000305,0.9027816164545501
WeightedCE,50,0.13256880766908888,0.9079648502188157
WeightedCE,51,0.12543447884980222,0.9036161074379951
WeightedCE,52,0.12599058611921862,0.9071250917879239
WeightedCE,53,0.11149053152283313,0.9001429200796869
WeightedCE,54,0.11678702901051917,0.9077190229536
WeightedCE,55,0.11399827052799749,0.9070139610697332
WeightedCE,56,0.14283717814570582,0.9069545453672742
WeightedCE,57,0.15623614858363716,0.9020019453547568
WeightedCE,58,0.12360863057030759,0.9058646968201549
WeightedCE,59,0.11627407744526863,0.9123671142710812
WeightedCE,60,0.10988407290842332,0.9112575780742772
WeightedCE,61,0.10683321367791841,0.904059325223619
WeightedCE,62,0.11467105315499743,0.9073841249418636
WeightedCE,63,0.10346398462580753,0.908017795636161
WeightedCE,64,0.10192454349197133,0.9050451437694963
WeightedCE,65,0.10337246133303138,0.9004563475095118
WeightedCE,66,0.09978859441381105,0.9128196789183517
WeightedCE,67,0.10384251313730025,0.9081870434389833
WeightedCE,68,0.10290962963981527,0.8975682121835438
WeightedCE,69,0.10273915182956507,0.9063324074864939
WeightedCE,70,0.0906872668526542,0.9108095014804342
WeightedCE,71,0.08833410053081076,0.9069749462328117
WeightedCE,72,0.09063968427059516,0.9070427383981289
WeightedCE,73,0.08503693460263836,0.9092688019490752
WeightedCE,74,0.09937614921323011,0.9076672885608584
WeightedCE,75,0.08967528220685855,0.9022075511497119
WeightedCE,76,0.0927990034589885,0.9056271521056987
WeightedCE,77,0.0841152261103123,0.9060884613751377
WeightedCE,78,0.08707878976063409,0.9088826649280543
