Imbalance_Method,Epoch,Train_Loss,Validation_Weighted_F1,AF_F1,SVT_F1,Sinus Brady_F1,Sinus Rhythm_F1
None,0,0.3778641427486715,0.8836053443195653,0.8917705735660848,0.11940298507462686,0.9593301435406698,0.8181818181818182
None,1,0.281139043225369,0.8939550687676319,0.9,0.2465753424657534,0.9638258736971184,0.8285714285714286
None,2,0.26032575524189105,0.9001288060780626,0.905116741182315,0.33766233766233766,0.963275135460566,0.8387942332896461
None,3,0.25092040453578385,0.909188490104694,0.9085457271364318,0.54,0.9637243047158404,0.8511198945981555
None,4,0.24136668149854096,0.902991946166931,0.9016641452344932,0.5142857142857142,0.9611476389719068,0.8419654714475432
None,5,0.23660304197962856,0.9094916187521888,0.9092741935483871,0.4835164835164835,0.9633633633633634,0.8604651162790697
None,6,0.22641398936090334,0.9101310683526112,0.906060606060606,0.5420560747663551,0.9661954517516902,0.8575
None,7,0.22043501711647276,0.9116718531235595,0.9115175481957489,0.48936170212765956,0.9670731707317073,0.8586525759577279
None,8,0.21067265216523492,0.9100949594677992,0.9102627664848786,0.5384615384615384,0.9641975308641976,0.851228978007762
None,9,0.2143247676357417,0.9053050522866223,0.9004106776180698,0.5607476635514018,0.9663056558363418,0.8406524466750314
None,10,0.20063598391035914,0.9153024111436796,0.9127382146439318,0.5436893203883495,0.9673123486682809,0.8679738562091504
None,11,0.19764673132711733,0.9072377113831172,0.9038167938931297,0.5585585585585585,0.9631864815932408,0.8501920614596671
None,12,0.19418182108603732,0.9144593937356162,0.9116465863453815,0.5555555555555556,0.9696601941747572,0.8590078328981723
None,13,0.18947253292295294,0.9181404828063453,0.9152882205513785,0.5769230769230769,0.9691096305269533,0.8691099476439791
None,14,0.1832923721784437,0.9186228893359689,0.9148936170212766,0.6456692913385826,0.9670731707317073,0.8667529107373868
None,15,0.1775377187615549,0.9148496683341975,0.9103797468354431,0.6153846153846154,0.9641772920461446,0.8670967741935484
None,16,0.17581794668041484,0.9158377853899428,0.9128051818634778,0.6086956521739131,0.9689213893967094,0.8575233022636485
None,17,0.16911320808068128,0.9127252486794366,0.9122807017543859,0.5306122448979592,0.9662783568362967,0.8582278481012658
None,18,0.16516415271121013,0.91050347273593,0.9060436769933977,0.5714285714285714,0.9670461354104254,0.8534031413612565
None,19,0.1610697187798124,0.9077376204580769,0.9055666003976143,0.5242718446601942,0.9658952496954933,0.8480845442536328
None,20,0.15359900676658456,0.9110400149343649,0.907175112895133,0.5504587155963303,0.9677811550151976,0.8552803129074316
None,21,0.14928855185567494,0.9100293935155342,0.9064386317907445,0.5471698113207547,0.9671532846715328,0.8530927835051546
None,22,0.14269854836690593,0.9171380395468317,0.9174493326742462,0.6138613861386139,0.967032967032967,0.8563829787234043
None,23,0.13754703860047837,0.9135034918930637,0.9094587759231159,0.5964912280701754,0.9682926829268292,0.855683269476373
None,24,0.1390568852739435,0.9092354452598812,0.9043037974683544,0.5714285714285714,0.968408262454435,0.8475452196382429
None,25,0.13189223193576638,0.9126762565026434,0.9092752154080082,0.5862068965517241,0.9628727936701157,0.8644501278772379
None,26,0.1282354212877616,0.9115016231031623,0.9091821374811841,0.5825242718446602,0.9644607843137255,0.8549618320610687
None,27,0.1278274145869302,0.9113597278415109,0.9066802651708312,0.5714285714285714,0.967391304347826,0.8560509554140128
None,28,0.12512580486355532,0.9137361273501374,0.9120160884866767,0.5555555555555556,0.9689592209373098,0.8552971576227391
None,29,0.11990319433766351,0.9119270625477525,0.9066666666666666,0.591304347826087,0.9663461538461539,0.8585987261146497
None,30,0.116140095858087,0.9122346176144508,0.9082521783700667,0.5904761904761905,0.963319302465424,0.8628930817610063
None,31,0.11486285694048438,0.9163673600425186,0.9139406139909411,0.5607476635514018,0.9683313032886723,0.8663239074550129
None,32,0.10430060812390186,0.9148750091229648,0.910010111223458,0.5769230769230769,0.9702489374620522,0.8611464968152867
None,33,0.10389392980387513,0.9139335125033583,0.9110105580693816,0.5360824742268041,0.970392749244713,0.8589909443725744
None,34,0.10882883957049376,0.909977855574262,0.9054878048780488,0.5789473684210527,0.9665246500304321,0.8517110266159695
WeightedCE,0,0.5386517003808223,0.8183351458685726,0.7512254901960784,0.3227848101265823,0.9553305539011316,0.7756482525366404
WeightedCE,1,0.4202434360771112,0.851793934938862,0.8204545454545454,0.42105263157894735,0.9593596059113301,0.7694013303769401
WeightedCE,2,0.3905087283379595,0.8699298374381453,0.8473451327433629,0.4279475982532751,0.9573690621193667,0.8095808383233533
WeightedCE,3,0.37036250961918227,0.871198427382651,0.846111417539989,0.41201716738197425,0.9614678899082569,0.8139255702280912
WeightedCE,4,0.3425389539817689,0.8624142730916764,0.82893998878295,0.35251798561151076,0.9569957601453665,0.8254364089775561
WeightedCE,5,0.3288108535425764,0.8779818144544886,0.8541666666666666,0.42201834862385323,0.9624697336561744,0.8292682926829268
WeightedCE,6,0.3217769595728794,0.8610432091161503,0.8315492957746479,0.4048582995951417,0.9541511771995044,0.8086560364464692
WeightedCE,7,0.3061313290201442,0.8858967059786726,0.8730583824317086,0.48704663212435234,0.9603469640644362,0.8214285714285714
WeightedCE,8,0.2978053651225399,0.8780996367035463,0.8529729729729729,0.3881856540084388,0.9642857142857143,0.8343711083437111
WeightedCE,9,0.28218644720987535,0.8808699915233462,0.8547579298831386,0.4132231404958678,0.9642640823743186,0.8422330097087378
WeightedCE,10,0.27989140079474784,0.8729897417069502,0.844170403587444,0.37735849056603776,0.9629179331306991,0.8317073170731707
WeightedCE,11,0.270283134995212,0.8778373687673893,0.8511576626240352,0.392,0.9641337386018237,0.8372670807453416
WeightedCE,12,0.26891718238172396,0.8768096497624281,0.8498331479421579,0.4383561643835616,0.9639584605986561,0.827906976744186
WeightedCE,13,0.2564676240296431,0.8824851197688021,0.8609125893347993,0.4366812227074236,0.9651376146788991,0.8303249097472925
WeightedCE,14,0.2451707966310877,0.888575868291478,0.8713513513513513,0.45320197044334976,0.9649661954517517,0.8369304556354916
WeightedCE,15,0.250984347412284,0.8849435200380766,0.862125340599455,0.4411764705882353,0.9641772920461446,0.8429951690821256
WeightedCE,16,0.2808584153757129,0.8876775477800706,0.8671405139420448,0.44651162790697674,0.9654754694124773,0.8424908424908425
WeightedCE,17,0.24709196084401977,0.8886187039774862,0.8796992481203008,0.5113636363636364,0.9594594594594594,0.8183962264150944
WeightedCE,18,0.22683279489127683,0.8881060904114404,0.8646003262642741,0.4326923076923077,0.9709090909090909,0.8421052631578947
WeightedCE,19,0.2240841611170433,0.8984498842604607,0.8880714661061482,0.49710982658959535,0.9632352941176471,0.8486352357320099
WeightedCE,20,0.21721903171757578,0.8989498209186314,0.885593220338983,0.5176470588235295,0.9681762545899633,0.8442822384428224
WeightedCE,21,0.22625726015425066,0.8905661809055639,0.877605558524853,0.4858757062146893,0.960880195599022,0.8361445783132531
WeightedCE,22,0.20183384696572598,0.8986351700849828,0.8870116156282999,0.525,0.966319657072872,0.841596130592503
WeightedCE,23,0.20035322466996355,0.8940814072217195,0.8805570433851098,0.5371428571428571,0.9641337386018237,0.8343409915356711
WeightedCE,24,0.19879099747664492,0.8858767040980948,0.8643051771117166,0.4444444444444444,0.9651802076970067,0.8401937046004843
WeightedCE,25,0.17891741795858868,0.8917451246475322,0.8796592119275826,0.5,0.9601471489883507,0.8371531966224367
WeightedCE,26,0.19273732718027814,0.8979872999772038,0.8871224165341812,0.5714285714285714,0.9657701711491442,0.8315412186379928
WeightedCE,27,0.20152652735861254,0.9001475403062051,0.8881754949170679,0.5,0.9617950272892662,0.8609756097560975
WeightedCE,28,0.18851218545730686,0.9057128107520913,0.8964059196617337,0.5641025641025641,0.9666059502125076,0.8522588522588522
WeightedCE,29,0.18372287921292682,0.8857847135707234,0.8663393344244408,0.4712041884816754,0.9664019547953574,0.8276670574443142
WeightedCE,30,0.1738701231882606,0.8928546708269561,0.8794858061060525,0.4835164835164835,0.9617950272892662,0.8431372549019608
WeightedCE,31,0.16861081553596846,0.8982361463090212,0.8891224382553863,0.55,0.9596577017114915,0.8441717791411043
WeightedCE,32,0.1682812943005226,0.9069921906610017,0.8979591836734694,0.5316455696202531,0.9682926829268292,0.8571428571428571
WeightedCE,33,0.1788398355350528,0.8993105861940978,0.8841201716738197,0.5263157894736842,0.9685990338164251,0.8479809976247031
WeightedCE,34,0.20503900357535187,0.8978593584813674,0.8836712913553896,0.45454545454545453,0.9665246500304321,0.8560700876095119
WeightedCE,35,0.172928170471544,0.8976016464160217,0.8839427662957074,0.4659090909090909,0.9658119658119658,0.8536285362853628
WeightedCE,36,0.17104873942657256,0.9079940494039808,0.900523560209424,0.5432098765432098,0.9677811550151976,0.8557089084065245
WeightedCE,37,0.1538267968825891,0.8984592324275998,0.8843683083511777,0.4888888888888889,0.9684466019417476,0.8484107579462102
WeightedCE,38,0.14991713351976704,0.9078610537399268,0.8982785602503912,0.5477707006369427,0.9666059502125076,0.862547288776797
WeightedCE,39,0.15102327399900262,0.9036492414924907,0.8965158606344253,0.5490196078431373,0.962287104622871,0.8513853904282116
WeightedCE,40,0.14276013630901424,0.8968456472661115,0.8820074746396156,0.4942528735632184,0.9648484848484848,0.8518971848225214
WeightedCE,41,0.14546860366220205,0.9053751813964751,0.8930620761606677,0.5325443786982249,0.9726110772976263,0.8509554140127389
WeightedCE,42,0.14919439564183565,0.8973557192598894,0.8865210442194992,0.5176470588235295,0.9673123486682809,0.8343558282208589
WeightedCE,43,0.1437441757027532,0.9062265900291304,0.8983845752996352,0.5512820512820513,0.9645909645909646,0.8564294631710362
WeightedCE,44,0.13821770387216353,0.9072985894541608,0.8984455958549222,0.5733333333333334,0.9689213893967094,0.849936948297604
WeightedCE,45,0.13664335867678615,0.8968048672325304,0.8888888888888888,0.5207100591715976,0.9635577516985794,0.8325358851674641
WeightedCE,46,0.1374947507931313,0.9118439041319363,0.9054263565891473,0.5793103448275863,0.9713589274832419,0.8524590163934426
WeightedCE,47,0.13788848365066755,0.9083993141595701,0.9018789144050104,0.5531914893617021,0.9676632092739476,0.8533007334963325
WeightedCE,48,0.1437441005148518,0.9058425650371396,0.8951781970649895,0.5584415584415584,0.9709090909090909,0.8478802992518704
WeightedCE,49,0.12728795118000305,0.9027816164545501,0.8940188877229801,0.5060240963855421,0.9660194174757282,0.8513853904282116
WeightedCE,50,0.13256880766908888,0.9079648502188157,0.8989583333333333,0.5157232704402516,0.967702620353443,0.8639798488664987
WeightedCE,51,0.12543447884980222,0.9036161074379951,0.8943772990015765,0.49673202614379086,0.9660194174757282,0.8567901234567902
WeightedCE,52,0.12599058611921862,0.9071250917879239,0.8992167101827676,0.593103448275862,0.965558912386707,0.851063829787234
WeightedCE,53,0.11149053152283313,0.9001429200796869,0.8897136797454931,0.5031446540880503,0.9660606060606061,0.8473748473748474
WeightedCE,54,0.11678702901051917,0.9077190229536,0.8988529718456726,0.5405405405405406,0.9690721649484536,0.8560700876095119
WeightedCE,55,0.11399827052799749,0.9070139610697332,0.9010416666666666,0.5833333333333334,0.9680589680589681,0.8418491484184915
WeightedCE,56,0.14283717814570582,0.9069545453672742,0.8984455958549222,0.5562913907284768,0.9683698296836983,0.8517110266159695
WeightedCE,57,0.15623614858363716,0.9020019453547568,0.8914646996838778,0.5,0.967504598405886,0.8511685116851169
WeightedCE,58,0.12360863057030759,0.9058646968201549,0.8970203868269734,0.5256410256410257,0.9640900791235545,0.8628428927680798
WeightedCE,59,0.11627407744526863,0.9123671142710812,0.9048603929679421,0.5419354838709678,0.9682151589242054,0.8694550063371356
WeightedCE,60,0.10988407290842332,0.9112575780742772,0.9048843187660668,0.583941605839416,0.967032967032967,0.8589420654911839
WeightedCE,61,0.10683321367791841,0.904059325223619,0.8950682056663168,0.5733333333333334,0.9664429530201343,0.8449328449328449
WeightedCE,62,0.11467105315499743,0.9073841249418636,0.9028213166144201,0.5594405594405595,0.9663608562691132,0.8467153284671532
WeightedCE,63,0.10346398462580753,0.908017795636161,0.9022245214692188,0.54421768707483,0.9668711656441717,0.8532338308457711
WeightedCE,64,0.10192454349197133,0.9050451437694963,0.8929889298892989,0.5121951219512195,0.9691842900302114,0.8596491228070176
WeightedCE,65,0.10337246133303138,0.9004563475095118,0.8904037755637126,0.5283018867924528,0.9640024405125076,0.8479604449938195
WeightedCE,66,0.09978859441381105,0.9128196789183517,0.9053842132775745,0.589041095890411,0.967741935483871,0.8645320197044335
WeightedCE,67,0.10384251313730025,0.9081870434389833,0.9037267080745341,0.547945205479452,0.9645909645909646,0.8546365914786967
WeightedCE,68,0.10290962963981527,0.8975682121835438,0.893883951907998,0.543046357615894,0.958462492250465,0.8315412186379928
WeightedCE,69,0.10273915182956507,0.9063324074864939,0.8957894736842106,0.5394736842105263,0.9696969696969697,0.854679802955665
