Path,Architecture,Sampling,AF P,AF R,AF F1,SVT P,SVT R,SVT F1,Sinus Brady P,Sinus Brady R,Sinus Brady F1,Sinus Rhythm P,Sinus Rhythm R,Sinus Rhythm F1,Overall P,Overall R,Overall F1
A,MLP,None,0.9126180836707153,0.90589417280643,0.9092436974789916,0.5595238095238095,0.5802469135802469,0.5696969696969697,0.9529793271179571,0.9694845360824742,0.9611610793131643,0.8679727427597955,0.8491666666666666,0.8584667228306655,0.910713511672289,0.9108223829912889,0.9107143473341798
A,MLP,WeightedCE,0.9267071862710047,0.8680509042196919,0.8964205429707764,0.4230769230769231,0.6790123456790124,0.5213270142180095,0.9475806451612904,0.9690721649484536,0.9582059123343527,0.8357605177993528,0.8608333333333333,0.8481116584564861,0.9060212321894336,0.8984201978443821,0.9010113753392359
A,MLP,Focal,0.9370761115297664,0.832886805090422,0.8819148936170212,0.3742138364779874,0.7345679012345679,0.49583333333333335,0.9518023491292021,0.9690721649484536,0.9603596240294238,0.8003003003003003,0.8883333333333333,0.8420221169036335,0.9046527340227362,0.889118558984202,0.8936987303847833
A,MLP,SMOTEENN,0.9374482187241093,0.7578700602813128,0.8381481481481482,0.3209549071618037,0.7469135802469136,0.4489795918367347,0.9573756790639365,0.9447422680412371,0.9510170195101701,0.6960352422907489,0.9216666666666666,0.793115812119039,0.8870653164844748,0.8535360992174812,0.861272746360982
A,FT-Transformer,None,0.6891126494650723,0.7334226389819156,0.7105775470473719,0.0,0.0,0.0,0.5975609756097561,0.8284536082474226,0.6943148436149992,0.4206008583690987,0.08166666666666667,0.13677599441730634,0.5922776859883778,0.6344308282887937,0.5860961530415758
A,FT-Transformer,WeightedCE,0.7265765765765766,0.5401875418620228,0.6196696119861698,0.16981132075471697,0.05555555555555555,0.08372093023255814,0.6303908355795148,0.7715463917525773,0.6938624142406824,0.3009138381201044,0.38416666666666666,0.3374816983894583,0.6034049126892619,0.5837885722722574,0.5834180783536664
A,FT-Transformer,Focal,0.6511497476163769,0.7776289350301406,0.7087912087912088,0.0,0.0,0.0,0.6479652311339391,0.6762886597938145,0.6618240516545602,0.3609467455621302,0.20333333333333334,0.2601279317697228,0.5830185924342035,0.620995127712978,0.5955303990604645
A,FT-Transformer,SMOTEENN,0.8276422764227642,0.17046215673141327,0.28269925020827547,0.06722689075630252,0.5432098765432098,0.11964649898028552,0.5696055684454756,0.8098969072164949,0.6688234292525115,0.30620985010706636,0.3575,0.32987312572087657,0.6246826985545038,0.44145873320537427,0.42540488125780435
A,ConvTran,None,0.832039739211425,0.8975217682518419,0.8635411632028355,0.0,0.0,0.0,0.9247311827956989,0.9575257731958763,0.9408427876823339,0.7990384615384616,0.6925,0.7419642857142857,0.8394788031021762,0.8612136424036616,0.8490233007988292
A,ConvTran,WeightedCE,0.8818140174072377,0.644675150703282,0.7448249177790676,0.16689466484268126,0.7530864197530864,0.2732362821948488,0.9043969342476805,0.9245360824742268,0.9143556280587276,0.6463768115942029,0.7433333333333333,0.6914728682170542,0.8310864212529449,0.764949062453861,0.7847912774408299
A,ConvTran,Focal,0.8632686084142395,0.7146684527796383,0.7819714181018688,0.19156414762741653,0.6728395061728395,0.2982216142270862,0.9110933119743693,0.9381443298969072,0.9244209670865502,0.68582995951417,0.7058333333333333,0.6956878850102669,0.8328880392138506,0.7921157537280378,0.8061161764586109
A,ConvTran,SMOTEENN,0.9448315911730546,0.544876088412592,0.6911639762107051,0.16347381864623245,0.7901234567901234,0.2708994708994709,0.9153567110036276,0.9364948453608247,0.9258051365674684,0.5920537213206492,0.8816666666666667,0.7084030800133914,0.8530864284116354,0.750627491510409,0.7681769525237059
B,MLP,None,0.9667149059334298,0.4474212993971869,0.6117216117216118,0.2870662460567823,0.5617283950617284,0.37995824634655534,0.6295235615725071,0.9971134020618557,0.7717842323651453,0.732360097323601,0.7525,0.7422934648581998,0.7882093894256712,0.7010187509227817,0.6866208312157378
B,MLP,WeightedCE,0.9179704016913319,0.7270596115204286,0.8114371145580266,0.29411764705882354,0.46296296296296297,0.3597122302158273,0.9352577319587629,0.9352577319587629,0.9352577319587629,0.6174768518518519,0.8891666666666667,0.7288251366120219,0.8559986565031846,0.8240070869629411,0.8303284761995656
B,MLP,Focal,0.8595555555555555,0.6476892163429336,0.7387318563789153,0.0,0.0,0.0,0.8441256300891818,0.8977319587628866,0.8701039168665068,0.49074074074074076,0.795,0.6068702290076335,0.7681273336400477,0.7478222353462277,0.7447363939698626
B,MLP,SMOTEENN,0.7546816479400749,0.8097789685197588,0.7812600969305331,0.275,0.2037037037037037,0.23404255319148937,0.8125695216907676,0.6024742268041237,0.6919251716789012,0.47546941247728647,0.6541666666666667,0.5506839705366539,0.7144653456107956,0.6934888527978739,0.6953339508366917
B,FT-Transformer,None,0.5269645608628659,0.5726724715338245,0.548868560423688,0.0,0.0,0.0,0.43679138321995464,0.6354639175257732,0.5177221568956828,0.0,0.0,0.0,0.3887103621799657,0.47999409419754907,0.42734353342642306
B,FT-Transformer,WeightedCE,0.4408681529602835,1.0,0.6119479454862179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1943647282946119,0.4408681529602835,0.2697883604343491
B,FT-Transformer,Focal,0.0,0.0,0.0,0.0,0.0,0.0,0.35803927358629856,1.0,0.5272885409871712,0.0,0.0,0.0,0.12819212143020434,0.35803927358629856,0.18879000618542593
B,ConvTran,None,0.6286764705882353,0.8017414601473544,0.7047394760082426,0.0,0.0,0.0,0.6714527027027027,0.6556701030927835,0.663467556853745,0.3065326633165829,0.1525,0.2036727879799666,0.5718795129500109,0.6152369703233427,0.5843301707230038
B,ConvTran,WeightedCE,0.7271710771524413,0.6533824514400536,0.6883048156641383,0.15931372549019607,0.4012345679012346,0.22807017543859648,0.714618520675597,0.505979381443299,0.5924674070497344,0.3068702290076336,0.5025,0.381042654028436,0.6346280595532385,0.5678429056548059,0.5885442484754021
